cluster,longitude,latitude,edad,PRECTOTCORR,PAR,arcillas_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.45,3.22,7.03,1.36,127.5,40.07,24.83,35.13
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.46,3.18,14.13,1.36,127.5,36.27,24.43,39.27
0,-76.0,4.57,7.23,4.38,133.68,37.2,32.0,30.8
0,-76.0,4.57,7.23,4.38,133.68,37.2,32.0,30.8
0,-76.34,3.33,14.13,1.75,127.5,38.3,24.13,37.57
0,-76.32,3.22,7.4,1.36,127.5,36.4,23.43,40.13
0,-76.46,3.18,6.9,1.36,127.5,36.0,24.33,39.63
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.32,3.22,7.4,1.36,127.5,36.4,23.43,40.13
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.23,4.01,7.23,2.93,129.3,39.6,35.03,25.37
0,-76.23,4.01,7.23,2.93,129.3,39.6,35.03,25.37
0,-76.32,3.22,7.26,1.36,127.5,36.4,23.43,40.13
0,-76.32,3.22,7.23,1.36,127.5,36.4,23.43,40.13
0,-76.46,3.18,7.03,1.36,127.5,36.0,24.33,39.63
0,-76.34,3.33,7.03,1.75,127.5,38.3,24.13,37.57
0,-76.34,3.18,7.4,1.36,127.5,37.8,23.83,38.4
0,-76.34,3.18,7.4,1.36,127.5,37.8,23.83,38.4
0,-76.46,3.18,14.13,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,14.13,1.36,127.5,36.27,24.43,39.27
0,-76.46,3.18,14.13,1.36,127.5,36.27,24.43,39.27
0,-76.34,3.18,7.26,1.36,127.5,37.8,23.83,38.4
0,-76.32,4.04,7.4,2.93,129.3,33.5,31.3,35.17
0,-76.32,4.04,7.4,2.93,129.3,33.5,31.3,35.17
0,-76.32,4.04,7.26,2.93,129.3,33.5,31.3,35.17
0,-76.32,4.04,7.23,2.93,129.3,33.5,31.3,35.17
0,-76.28,3.45,7.23,1.75,127.5,37.67,28.2,34.13
0,-76.28,3.45,7.26,1.75,127.5,37.67,28.2,34.13
0,-76.28,3.45,7.4,1.75,127.5,37.67,28.2,34.13
0,-76.28,3.45,7.4,1.75,127.5,37.67,28.2,34.13
0,-76.46,3.18,7.03,1.36,127.5,36.27,24.43,39.27
0,-76.27,4.06,14.13,2.93,129.3,38.83,33.1,28.07
0,-76.33,3.93,7.23,2.93,127.5,37.53,26.9,35.6
0,-76.2,4.13,7.23,2.93,129.3,37.17,25.33,37.53
0,-76.33,3.93,7.23,2.93,127.5,37.53,26.9,35.6
0,-76.27,4.06,14.13,2.93,129.3,38.83,33.1,28.07
0,-76.27,4.06,14.13,2.93,129.3,38.83,33.1,28.07
0,-76.2,4.13,7.23,2.93,129.3,37.17,25.33,37.53
0,-76.27,4.06,7.03,2.93,129.3,38.83,33.1,28.07
0,-76.24,3.29,7.26,1.75,127.5,38.97,29.17,31.87
0,-76.24,3.29,7.23,1.75,127.5,38.97,29.17,31.87
0,-76.42,3.47,7.23,1.75,127.5,37.63,24.07,38.3
0,-76.24,3.29,7.4,1.75,127.5,38.97,29.17,31.87
0,-76.49,3.35,7.23,1.75,127.5,38.8,22.87,38.33
0,-76.24,4.06,7.23,2.93,129.3,38.6,31.5,29.9
0,-76.24,3.29,7.4,1.75,127.5,38.97,29.17,31.87
0,-76.42,3.47,7.23,1.75,127.5,37.63,24.07,38.3
0,-76.23,4.01,7.23,2.93,129.3,38.77,33.1,28.13
0,-76.23,4.01,7.23,2.93,129.3,38.77,33.1,28.13
0,-76.4,3.49,7.23,1.75,127.5,39.87,24.97,35.17
0,-76.4,3.49,7.23,1.75,127.5,39.87,24.97,35.17
0,-76.24,4.06,7.23,2.93,129.3,38.6,31.5,29.9
0,-76.49,3.35,7.23,1.75,127.5,38.8,22.87,38.33
0,-76.33,3.23,7.1,1.76,135.52,36.5,22.93,40.6
0,-76.26,3.65,7.1,2.87,135.52,38.57,31.63,29.87
0,-76.27,3.67,7.1,2.87,135.52,33.27,30.97,35.7
0,-76.36,3.77,7.1,5.17,135.52,35.73,23.07,41.2
0,-76.42,3.55,7.1,2.87,135.52,39.27,27.63,33.1
0,-76.32,3.65,7.9,2.87,135.52,36.87,29.4,33.73
0,-76.37,3.77,7.1,5.17,135.52,36.6,22.4,40.97
0,-76.37,3.12,7.9,1.76,135.52,40.9,21.37,37.77
0,-76.47,3.52,7.1,2.87,135.52,35.97,24.8,39.23
0,-76.33,3.14,7.9,1.76,135.52,37.6,23.4,39.0
0,-75.98,4.69,7.9,9.92,134.36,34.2,30.47,35.37
0,-76.48,3.36,7.1,2.87,135.52,39.2,22.0,38.8
0,-76.3,3.7,7.1,2.87,135.52,36.5,33.67,29.8
0,-76.47,3.58,7.1,2.87,135.52,35.23,28.07,36.7
